external_id,channel,received_at,language,text,is_synthetic
urg-01,jivo,2026-09-09,ru,"переезжаем командой 8 человек, нужен офис в TECOM в этом месяце, плюс визы на всех. что по срокам?",true
urg-02,whatsapp,2026-08-17,ru,"добрый! нам нужно 12 рабочих мест с 1 октября, барша хайтс рассматриваем. бюджет есть, готовы подписать договор на год. можно созвон завтра? +971-50-000-0117",true
urg-03,whatsapp,2026-07-25,en,we are relocating our dev team (6 ppl) from Yerevan to Dubai in Nov. need office + 6 employment visas + corporate bank acc. can you handle all of it in one package or do we go to 3 vendors?,true
urg-04,telegram,2026-08-31,ru,"срочно. открываем филиал, 5 человек, лицензия нужна до конца месяца иначе слетает контракт с заказчиком. фризона любая, лишь бы быстро",true
urg-05,form,2026-08-08,ru,"Компания 20 человек, ищем офис 200-250 кв.м в Barsha Heights, договор на 2 года.
Просьба прислать доступные варианты, планировки и цены до пятницы.
Контактное лицо - Ирина, почта ops@example-trading.ae",true
urg-06,jivo,2026-07-16,mixed,"нам нужен office space asap, 10 seats, + 10 residence visa. срок - 3 недели. это реально вообще или можно даже не начинать?",true
urg-07,whatsapp,2026-08-22,ru,"так это... э-э добрый день. мы это, компания, нас семеро, переезжаем из Алматы, нужен офис и визы, ну и счёт в банке ещё. хотелось бы к ноябрю всё закрыть. позвоните пожалуйста",true
urg-08,jivo,2026-07-30,en,"Need 8 flexi desks + trade licence renewal before 30 Sep. What is the fastest freezone for a fintech consultancy? Budget is approved, we just need speed.",true
urg-09,telegram,2026-09-05,ru,"переносим команду 15 человек, ищем офис под ключ с интернетом и мебелью в ТЕКОМе. плюс визы. когда можем приехать посмотреть помещение? на этой неделе есть окно?",true
urg-10,jivo,2026-08-13,ru,"нужен офис 4 кабинета + переговорка, заезд 1 ноября. компания уже зарегистрирована в DMCC, хотим переехать к вам в барша. что нужно для смены адреса в лицензии?",true
urg-11,whatsapp,2026-07-21,mixed,"hi, мы стартап, 9 people, нужен office + visas + accounting. бюджет до 180k AED в год на офис. срочно, инвестор просит адрес до конца октября",true
urg-12,form,2026-08-27,ru,"Здравствуйте. Регистрируем холдинг: 3 юрлица, офис на всех один, 12 сотрудников.
Нужен просчёт пакета целиком - лицензии, офис, визы, бухгалтерия на год.
Связь: +971-52-000-0143, звонить после 14:00",true
urg-13,telegram,2026-08-04,en,"our licence expires in 21 days and we must move to a bigger unit at the same time. 14 staff. urgent, who can call me today",true
urg-14,whatsapp,2026-07-12,ru,"команда 8 человек, едем в декабре, нужен офис в вашем бизнес центре и 8 виз. уже общались с фризоной, но там офис не дают, только флекси-десk. вы даёте нормальный офис с окнами?",true
urg-15,jivo,2026-08-18,ru,"ищем помещение под колл-центр на 25 мест, нужно срочно, готовы подписать в этом месяце если цена устроит. шумоизоляция важна",true
gen-01,jivo,2026-07-26,ru,подскажите чем мейнленд отличается от фризоны? что лучше для консалтинга,true
gen-02,whatsapp,2026-09-01,ru,"хочу открыть компанию в дубае, торговля автозапчастями. с чего вообще начать?",true
gen-03,jivo,2026-08-09,en,what documents do i need to register an LLC as a non resident? passport only or something else,true
gen-04,telegram,2026-07-17,ru,"можно ли открыть компанию удалённо, без приезда в оаэ?",true
gen-05,form,2026-08-23,ru,"Планирую релокацию бизнеса (IT-услуги, разработка ПО) в ОАЭ. Интересует, какая юрисдикция подойдёт и какие сроки регистрации.",true
gen-06,jivo,2026-07-31,ru,"а если у меня уже есть компания в казахстане, можно филиал открыть или проще новую?",true
gen-07,whatsapp,2026-09-06,ru,скажите а сколько занимает регистрация по времени? и нужно ли физически быть в стране,true
gen-08,whatsapp,2026-08-14,en,difference between IFZA and DMCC? which one is cheaper for a small marketing agency,true
gen-09,telegram,2026-07-22,ru,интересует регистрация компании для маркетплейса. налоги какие будут? 9% это на всё или есть порог,true
gen-10,jivo,2026-08-28,ru,"здравствуйте, а вы помогаете с лицензией на образовательные услуги? онлайн курсы, учеников в оаэ нет",true
gen-11,form,2026-08-05,ru,"Хочу открыть небольшую компанию для консалтинга, 1 учредитель, без сотрудников. Что входит в ваш пакет и что оплачивается отдельно?",true
gen-12,whatsapp,2026-07-13,ru,а можно ли на туристической визе зарегистрировать компанию или надо сначала резидентство,true
gen-13,jivo,2026-08-19,mixed,"хочу open company in dubai for crypto trading, это вообще легально сейчас? какая зона нужна",true
gen-14,telegram,2026-07-27,ru,"мы фотостудия, хотим переехать. нужна лицензия и помещение. с чего начать разговор?",true
gen-15,jivo,2026-09-02,en,Do you provide company formation for a UK ltd owner? Any restrictions on 100% foreign ownership these days?,true
gen-16,jivo,2026-08-10,ru,"скажите, а лицензию ""general trading"" можно сразу получить или сначала нужна обычная торговая?",true
gen-17,whatsapp,2026-07-18,ru,"мне нужно понять реально ли вести бизнес из россии через дубайскую компанию, платежи проходят или банки режут",true
gen-18,form,2026-08-24,ru,Интересует регистрация в mainland - с местным партнёром или без. Что сейчас по закону? И можно ли потом перевести компанию из фризоны в mainland.,true
gen-19,whatsapp,2026-08-01,ar,السلام عليكم، أريد تأسيس شركة في دبي لتجارة المواد الغذائية. ما هي الخطوات والمدة المطلوبة؟,true
gen-20,telegram,2026-09-07,ru,"а ежегодное продление сколько стоит и что туда входит? хочу понять расходы на 3 года вперёд, а не только вход",true
prc-01,jivo,2026-08-15,ru,скок стоит фриз зона?,true
prc-02,whatsapp,2026-07-23,ru,цена?,true
prc-03,telegram,2026-08-29,ru,сколько стоит открыть компанию,true
prc-04,jivo,2026-08-06,en,how much,true
prc-05,jivo,2026-07-14,ru,прайс скиньте пжлст,true
prc-06,form,2026-08-20,ru,Стоимость?,true
prc-07,whatsapp,2026-07-28,ru,"скажите стоимость под ключ, всё вместе",true
prc-08,telegram,2026-09-03,en,price list please,true
prc-09,jivo,2026-08-11,ru,почём офис у вас,true
prc-10,whatsapp,2026-07-19,mixed,how much за визу,true
visa-01,whatsapp,2026-08-25,ru,"нужна резидентская виза на себя и жену, компанию открывать не хочу. такой вариант есть?",true
